"identifiantUnique","nombreAbonnes"
"UCHwskbAT_sB64VeSL-9FGcw",4400000
"UC0fvGpDXi7sV2hbgD-O47yw",15600000
"UCgUvk6jVaf-1uKOqG8XNcaQ",727000
"UCFZ-8yfV1Wzt8dg6ytkQtDA",25200
"UC7QrHPuwcK7B_VCaaX6voaQ",427000
"UCVpankR4HtoAVtYnFDUieYA",4100000
"UCFof_j6hnC2WaZWwwW41_gA",341000
"UC5I2hjZYiW9gZPVkvzM8_Cw",1350000
"UCPvRdfUooqCf0zPOYvbBzVA",1200000
"UCezOhPRojzE_Du7XQodCKxQ",277000
"UCcKO_BrU7LANwUVQcj1FdbA",17300
"UCuMQWUoMJlK7tq3nDun_kyQ",94100
"UCnoO__18T-iX65eO7m5_V1A",93200
"UCMXE1k8qPHHnQxIOlAc8-9Q",37800
"UCFSaBAqySWbnd61n9r3Dd1g",964000
"UCDJmSJGiWlDMBVAmYa4G57A",171000
"UCyXiDU5qjfOPxgOPeFWGwKw",2910000
"UCvZwbZt6YZQ4wj_7qyjPDZw",447000
"UCoftcpXlUHhoiJNApWZYgSg",426000
"UCqWCWFZ6nCqRdGGDy5_NDYA",291000
"UCxcTeAKWJca6XyJ37_ZoKIQ",2510000
"UCbcxFkd6B9xUU54InHv4Tig",1480000
"UC28rc3PHWPJib68G-VqpJ3w",653000
"UCbqkOZ_7y3aGBEkJCrWz9LA",153000
"UCsSsgPaZ2GSmO6il8Cb5iGA",40200000
"UCLS1ahNPeY5iGSI7PzzZdRQ",1740000
"UCGEbMwiX774cseKvJqF9R2g",3850000
"UCYDaGPmMfSXViITpPYDKIcw",286000
"UC0ts7Wbbn24bo8TaRuu1Xig",1170000
"UCoLrcjPV5PbUrUyXq5mjc_A",5020000
"UCz8K1occVvDTYDfFo7N5EZw",5750000
"UCWp0jwXFPuVUrw-bApf1k-A",410000
"UCVYamHliCI9rw1tHR1xbkfw",3650000
"UCjWsE9cjRu5gImk99yFhwVg",892000
"UCSCoziKHqjqbox3Fv3Pb4BA",2200000
"UCR-DXc1voovS8nhAvccRZhg",678000
"UCJfNJmcv6LXCDsaa2kB_-7A",25600000
"UCiy0zhkYCeQBiSeZXJaA5vA",49700
"UCxpVYpHgmMc95ECIduotpGQ",331000
"UC07X32dwyFY9keRExZYMmMQ",83200
"UCmbkRUS_4Efdt5UIhwNqtcw",892000
"UC6L_LBqoKZXFa4WxHox5iCw",479000
"UCaaoXDr1zfb_yru_MZCMl1g",301000
"UCJla13cU_l6Itg8yEtOiAqQ",2430000
"UCZeKXaDbtL2GbfoB8hldseQ",592000
"UCRtsZ5Iak9wSLsQLQ3XOAeA",525000
"UChIadFCNLuC-obj5a3UKq_g",362000
"UCvwpXJEm2AG3Ymw8KV5cytw",520000
"UCjdvPP6bIMctgtP4fa7XXvA",931000
"UCTjmLCEVb9r1OpFDJMMWyIw",145000
"UCU_W9NGZsVOSecBDpgoXukA",567000
"UC8oiJrLncD7V9Hv2EYFQeBQ",359000
"UCWw4HqQcexuZfeFd4XLrNNg",202000
"UCGk7MVpZnmTYZ9ft0-rBIOA",63300
"UCdygnb7slTIiEU5ha2s6oFw",63000
"UCtve26ghqXpiPuE-5mkJnuA",466000
"UCi7Zk9baY1tvdlgxIML8MXg",1340000
"UCsVNRDpkHCigDK8MtreQmkw",28900
"UCrtAgtbn1SJHCWQ56CfOnJA",125000
"UCei_sg88Z6bvOrJdH0lItog",234000
"UCMFgSphkx76mEKJVan89ieg",666000
"UCm6Enc4guGzJyAnQmq9BUSw",590000
"UCrNyP8tXTLDh0xS6waHpd2g",17800
"UC2J-0g_nxlwcD9JBK1eTleQ",921000
"UCFN6lQpfY8XIRdhv9G-f4bg",1950000
"UC7i7-rO00davSDcR_HVs_Ag",75900
"UChG1pHQHx149HitA9-TatYg",846000
"UCugeH-Bmo9a5-Jnbt9X-3bA",4020000
"UCIQYGsyTh6WOJ-k5kxj4NVA",2420000
"UCIXwaBvAG8eGIzoP7P25uew",168000
"UCb31gOY6OD8ES0zP8M0GhAw",3720000
"UCSYYW2BF8nNtqQhIklYnE7g",1320000
"UC86H9UygCqYBlCfS9wqk4DQ",764000
"UC2aDf6Gq8OQdr3p5wGLIr3A",1310000
"UCQjHA3ly2Qr-5sGi-VVsLJw",378000
"UCnmGIkw-KdI0W5siakKPKog",15200000
"UCbNvfx3rYYxEopnRGxfu53Q",4370000
"UCwosUnVH6AINmxtqkNJ3Fbg",1070000
"UCybf3mczqjVILJZrdvnb2bw",692000
"UC7rsYYvQbqQrJDGhqWmtAgQ",3620000
"UCycQqMgImZi7XeOBO0n0AMQ",1010000
"UCNXBRk35Ht_kOFysBsucIAg",55100
"UCuObESik1lsylZE_A6KhR6w",3500000
"UCyzKh5Ah2hg1ZZw53Bb8ylg",1200000
"UCj1HiqkkyWGdffuyjeitm8Q",742000
"UCJqehlw9QNngnX6EN83gpyw",918000
"UCWUBvjNHWekOh9vPv8UaoKA",1090000
"UC78mJyZPMa_OG08KLHjhODw",2010000
"UCQ_phC1k7XJTcHmukzWtqmw",22300
"UCX6hSUgKkRpvedE_a4kKLSQ",58800
"UCi5BuX4X6yWWSVwVIQveOBg",143000
"UCpcTrCXblq78GZrTUTLWeBw",20700000
"UCLzocFrP98gfI5W2LD7Ux-w",365000
"UCCkRWeRSv9f7mapUDvbIVrA",322000
"UC3w3cU6UjSfAEg7RCifQ6qg",204000
"UCpVcPOrB9tWcBGe58FYjOmQ",46300
"UCPIalkf1gx1JUMpYNXxfk1w",8280000
"UCdT7aCnfj61pQG1NCp2O1aA",1030000
"UCCXoCcu9Rp7NPbTzIvogpZg",2440000
"UCMk9Tdc-d1BIcAFaSppiVkw",9490000
"UCa3C7WpFobavsDJdkKUtodw",857000
"UCDfEWAFimC5VkbjkvDs6WqA",299000
"UCvAPtgrGuzGy9tCpJViQwhQ",1150000
"UCknLrEdhRCp1aegoMqRaCZg",5090000
"UCGnjeahCJW1AF34HBmQTJ-Q",18300000
"UCdp5pYDJCpl5WFk3jFEjWHw",1150000
"UCyoW_EfdNy0Z3FudNgeEqdA",2080000
"UCey-eDTR5J6xU6pZ2f4guoA",4330000
"UCz5osAvTYFKjb6Kjcep6vXA",5600000
"UCIeuUT3mfhxreOMIls9fWew",4040000
"UCKmmERguliWTynG9OIoDhDw",4190000
"UCcEcv6_-7oMzUcSNG_-CikA",84700
"UCzYfz8uibvnB7Yc1LjePi4g",20000000
"UCWOA1ZGywLbqmigxE4Qlvuw",28100000
"UCnQC_G5Xsjhp9fEJKuIcrSw",6840000
"UC1ccNf0j8XPSULyhGS0Db5g",28100
"UCPt5dZyfOicIlsqWqFpipGg",1170000
"UC_QZRDNXAWISF-Sd1fSkFhw",22900
"UCl114gnt3tduk_Yixn_gNug",28100
"UC1kFilTL-VyPXuMpcHxBLHw",209000
"UC0oI44ZUVCqq4meNOOaKPTQ",747000
"UCDKLZBNM9XZ7pHPZF9D8xDQ",138000
"UCYrgEbRlM5QeZjD6MXJEd0g",31100
"UCJy0lX8ThZ7lCtst7JnegWQ",2540000
"UC0XK4BA9WI-l94w_jD5UJRg",974000
"UCvdc-bj7Onv5XhEC5z8_JUg",246000
"UCxBo5MZ_x-PuYhIF5JaL1kQ",321000
"UCT-2OPZT6P8j4nEKW3DXpOA",1130000
"UCQjc9m5apy-TnQRMyi2KI8w",1610000
"UCKwozOGZa1ExSL4C5P4Fh-g",26200
"UC8Eh8Mp3uC5zbD2jNS0nJJA",669000
"UCC5_pv4yUuwI-Il_rEtc7dA",73700
"UC0yXUUIaPVAqZLgRjvtMftw",9420000
"UCHzFsVWOCQFaOL4_UdbwXhA",293000
"UCk0wwaFCIkxwSfi6gpRqQUw",5020000
"UCYwkowpMVxoCYsPOKbk66iA",324000
"UCBS1NUWY7oC6FFHaXQy4zAA",621000
"UCXCG3leC3eHChlU2OPWMk_A",3850000
"UCUk7VggtJdo9XYTy3Z5QVAw",11000000
"UCOxOP1GVr6C2xaAJUvghCNQ",44400
"UCAVojJ1k03GZzjSbdXXunkw",2770000
"UCqgYu4U4_2FDMxp9YLF5wsg",71200
"UCPJHQ5_DLtxZ1gzBvZE99_g",7610000
"UCUoP_bemlpYJZsO8ZvatveA",34400
"UCp0rRUsMDlJ1meYAQ6_37Dw",1070000
